Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
2020-01-22,Germany,0,0,0.0,0.0,0,0,0
2020-01-23,Germany,0,0,0.0,0.0,0,0,0
2020-01-24,Germany,0,0,0.0,0.0,0,0,0
2020-01-25,Germany,0,0,0.0,0.0,0,0,0
2020-01-26,Germany,0,0,0.0,0.0,0,0,0
2020-01-27,Germany,1,0,0.0,1.0,1,0,0
2020-01-28,Germany,4,0,0.0,4.0,3,0,0
2020-01-29,Germany,4,0,0.0,4.0,0,0,0
2020-01-30,Germany,4,0,0.0,4.0,0,0,0
2020-01-31,Germany,5,0,0.0,5.0,1,0,0
2020-02-01,Germany,8,0,0.0,8.0,3,0,0
2020-02-02,Germany,10,0,0.0,10.0,2,0,0
2020-02-03,Germany,12,0,0.0,12.0,2,0,0
2020-02-04,Germany,12,0,0.0,12.0,0,0,0
2020-02-05,Germany,12,0,0.0,12.0,0,0,0
2020-02-06,Germany,12,0,0.0,12.0,0,0,0
2020-02-07,Germany,13,0,0.0,13.0,1,0,0
2020-02-08,Germany,13,0,0.0,13.0,0,0,0
2020-02-09,Germany,14,0,0.0,14.0,1,0,0
2020-02-10,Germany,14,0,0.0,14.0,0,0,0
2020-02-11,Germany,16,0,0.0,16.0,2,0,0
2020-02-12,Germany,16,0,0.0,16.0,0,0,0
2020-02-13,Germany,16,0,1.0,15.0,0,0,1
2020-02-14,Germany,16,0,1.0,15.0,0,0,0
2020-02-15,Germany,16,0,1.0,15.0,0,0,0
2020-02-16,Germany,16,0,1.0,15.0,0,0,0
2020-02-17,Germany,16,0,1.0,15.0,0,0,0
2020-02-18,Germany,16,0,12.0,4.0,0,0,11
2020-02-19,Germany,16,0,12.0,4.0,0,0,0
2020-02-20,Germany,16,0,12.0,4.0,0,0,0
2020-02-21,Germany,16,0,14.0,2.0,0,0,2
2020-02-22,Germany,16,0,14.0,2.0,0,0,0
2020-02-23,Germany,16,0,14.0,2.0,0,0,0
2020-02-24,Germany,16,0,14.0,2.0,0,0,0
2020-02-25,Germany,17,0,14.0,3.0,1,0,0
2020-02-26,Germany,27,0,15.0,12.0,10,0,1
2020-02-27,Germany,46,0,16.0,30.0,19,0,1
2020-02-28,Germany,48,0,16.0,32.0,2,0,0
2020-02-29,Germany,79,0,16.0,63.0,31,0,0
2020-03-01,Germany,130,0,16.0,114.0,51,0,0
2020-03-02,Germany,159,0,16.0,143.0,29,0,0
2020-03-03,Germany,196,0,16.0,180.0,37,0,0
2020-03-04,Germany,262,0,16.0,246.0,66,0,0
2020-03-05,Germany,482,0,16.0,466.0,220,0,0
2020-03-06,Germany,670,0,17.0,653.0,188,0,1
2020-03-07,Germany,799,0,18.0,781.0,129,0,1
2020-03-08,Germany,1040,0,18.0,1022.0,241,0,0
2020-03-09,Germany,1176,2,18.0,1156.0,136,2,0
2020-03-10,Germany,1457,2,18.0,1437.0,281,0,0
2020-03-11,Germany,1908,3,25.0,1880.0,451,1,7
2020-03-12,Germany,2078,3,25.0,2050.0,170,0,0
2020-03-13,Germany,3675,7,46.0,3622.0,1597,4,21
2020-03-14,Germany,4585,9,46.0,4530.0,910,2,0
2020-03-15,Germany,5795,11,46.0,5738.0,1210,2,0
2020-03-16,Germany,7272,17,67.0,7188.0,1477,6,21
2020-03-17,Germany,9257,24,67.0,9166.0,1985,7,0
2020-03-18,Germany,12327,28,105.0,12194.0,3070,4,38
2020-03-19,Germany,15320,44,113.0,15163.0,2993,16,8
2020-03-20,Germany,19848,67,180.0,19601.0,4528,23,67
2020-03-21,Germany,22213,84,233.0,21896.0,2365,17,53
2020-03-22,Germany,24873,94,266.0,24513.0,2660,10,33
2020-03-23,Germany,29056,123,266.0,28667.0,4183,29,0
2020-03-24,Germany,32986,157,3243.0,29586.0,3930,34,2977
2020-03-25,Germany,37323,206,3547.0,33570.0,4337,49,304
2020-03-26,Germany,43938,267,5673.0,37998.0,6615,61,2126
2020-03-27,Germany,50871,342,6658.0,43871.0,6933,75,985
2020-03-28,Germany,57695,433,8481.0,48781.0,6824,91,1823
2020-03-29,Germany,62095,533,9211.0,52351.0,4400,100,730
2020-03-30,Germany,66885,645,13500.0,52740.0,4790,112,4289
2020-03-31,Germany,71808,775,16100.0,54933.0,4923,130,2600
2020-04-01,Germany,77872,920,18700.0,58252.0,6064,145,2600
2020-04-02,Germany,84794,1107,22440.0,61247.0,6922,187,3740
2020-04-03,Germany,91159,1275,24575.0,65309.0,6365,168,2135
2020-04-04,Germany,96092,1444,26400.0,68248.0,4933,169,1825
2020-04-05,Germany,100123,1584,28700.0,69839.0,4031,140,2300
2020-04-06,Germany,103374,1810,28700.0,72864.0,3251,226,0
2020-04-07,Germany,107663,2016,36081.0,69566.0,4289,206,7381
2020-04-08,Germany,113296,2349,46300.0,64647.0,5633,333,10219
2020-04-09,Germany,118181,2607,52407.0,63167.0,4885,258,6107
2020-04-10,Germany,122171,2767,53913.0,65491.0,3990,160,1506
2020-04-11,Germany,124908,2736,57400.0,64772.0,2737,-31,3487
2020-04-12,Germany,127854,3022,60300.0,64532.0,2946,286,2900
2020-04-13,Germany,130072,3194,64300.0,62578.0,2218,172,4000
2020-04-14,Germany,131359,3294,68200.0,59865.0,1287,100,3900
2020-04-15,Germany,134753,3804,72600.0,58349.0,3394,510,4400
2020-04-16,Germany,137698,4052,77000.0,56646.0,2945,248,4400
2020-04-17,Germany,141397,4352,83114.0,53931.0,3699,300,6114
2020-04-18,Germany,143342,4459,85400.0,53483.0,1945,107,2286
2020-04-19,Germany,145184,4586,88000.0,52598.0,1842,127,2600
2020-04-20,Germany,147065,4862,91500.0,50703.0,1881,276,3500
2020-04-21,Germany,148291,5033,95200.0,48058.0,1226,171,3700
2020-04-22,Germany,150648,5279,99400.0,45969.0,2357,246,4200
2020-04-23,Germany,153129,5575,103300.0,44254.0,2481,296,3900
2020-04-24,Germany,154999,5760,109800.0,39439.0,1870,185,6500
2020-04-25,Germany,156513,5877,109800.0,40836.0,1514,117,0
2020-04-26,Germany,157770,5976,112000.0,39794.0,1257,99,2200
2020-04-27,Germany,158758,6126,114500.0,38132.0,988,150,2500
2020-04-28,Germany,159912,6314,117400.0,36198.0,1154,188,2900
2020-04-29,Germany,161539,6467,120400.0,34672.0,1627,153,3000
2020-04-30,Germany,163009,6623,123500.0,32886.0,1470,156,3100
2020-05-01,Germany,164077,6736,126900.0,30441.0,1068,113,3400
2020-05-02,Germany,164967,6812,129000.0,29155.0,890,76,2100
2020-05-03,Germany,165664,6866,130600.0,28198.0,697,54,1600
2020-05-04,Germany,166152,6993,132700.0,26459.0,488,127,2100
2020-05-05,Germany,167007,6993,135100.0,24914.0,855,0,2400
2020-05-06,Germany,168162,7275,139900.0,20987.0,1155,282,4800
2020-05-07,Germany,169430,7392,141700.0,20338.0,1268,117,1800
2020-05-08,Germany,170588,7510,141700.0,21378.0,1158,118,0
2020-05-09,Germany,171324,7549,143300.0,20475.0,736,39,1600
2020-05-10,Germany,171879,7569,144400.0,19910.0,555,20,1100
2020-05-11,Germany,172576,7661,145617.0,19298.0,697,92,1217
2020-05-12,Germany,173171,7738,147200.0,18233.0,595,77,1583
2020-05-13,Germany,174098,7861,148700.0,17537.0,927,123,1500
2020-05-14,Germany,174478,7884,150300.0,16294.0,380,23,1600
2020-05-15,Germany,175233,7897,151597.0,15739.0,755,13,1297
2020-05-16,Germany,175752,7938,152600.0,15214.0,519,41,1003
2020-05-17,Germany,176369,7962,154011.0,14396.0,617,24,1411
2020-05-18,Germany,176551,8003,155041.0,13507.0,182,41,1030
2020-05-19,Germany,177778,8081,155681.0,14016.0,1227,78,640
2020-05-20,Germany,178473,8144,156966.0,13363.0,695,63,1285
2020-05-21,Germany,179021,8203,158087.0,12731.0,548,59,1121
2020-05-22,Germany,179710,8228,159064.0,12418.0,689,25,977
2020-05-23,Germany,179986,8261,159716.0,12009.0,276,33,652
2020-05-24,Germany,180328,8283,160281.0,11764.0,342,22,565
2020-05-25,Germany,180600,8309,161199.0,11092.0,272,26,918
2020-05-26,Germany,181200,8372,161967.0,10861.0,600,63,768
2020-05-27,Germany,181524,8428,162820.0,10276.0,324,56,853
2020-05-28,Germany,182196,8470,163360.0,10366.0,672,42,540
2020-05-29,Germany,182922,8504,164245.0,10173.0,726,34,885
2020-05-30,Germany,183189,8530,164908.0,9751.0,267,26,663
